amount,oldbalanceOrg,hour,transaction_type,newbalanceOrig,isFraud
87907,84122,5,CASH_OUT,-3785,1
23429,25519,11,PAYMENT,2090,0
50646,188891,19,CASH_OUT,138245,0
50025,81910,17,PAYMENT,31885,0
54278,121430,13,TRANSFER,67152,1
87949,72324,1,CASH_OUT,-15625,1
18151,6408,8,TRANSFER,-11743,1
80366,60379,4,TRANSFER,-19987,1
71920,26053,19,CASH_OUT,-45867,1
56054,141518,0,PAYMENT,85464,1
67224,132994,22,CASH_OUT,65770,0
33837,99723,2,TRANSFER,65886,1
55830,52356,5,TRANSFER,-3474,1
62633,11789,4,CASH_OUT,-50844,1
81744,98720,20,PAYMENT,16976,0
75460,67656,4,PAYMENT,-7804,1
93436,45028,0,TRANSFER,-48408,1
22309,65484,16,TRANSFER,43175,0
43595,33154,18,PAYMENT,-10441,1
64054,3336,13,CASH_OUT,-60718,1
42567,104677,11,TRANSFER,62110,0
49090,68779,9,PAYMENT,19689,0
2703,20029,19,TRANSFER,17326,0
95013,60201,20,CASH_OUT,-34812,1
95269,33265,17,PAYMENT,-62004,1
69173,103916,23,TRANSFER,34743,1
25949,175944,10,CASH_OUT,149995,0
48935,47197,1,TRANSFER,-1738,1
42951,126733,17,CASH_OUT,83782,0
21844,187252,6,CASH_OUT,165408,0
18057,155782,23,PAYMENT,137725,0
26115,161558,14,CASH_OUT,135443,0
75776,72907,10,TRANSFER,-2869,1
15717,129876,17,CASH_OUT,114159,0
21986,65435,22,CASH_OUT,43449,0
44272,41631,11,PAYMENT,-2641,1
23786,130038,5,CASH_OUT,106252,0
30090,21103,19,CASH_OUT,-8987,1
66852,65772,22,TRANSFER,-1080,1
61383,127108,12,PAYMENT,65725,0
6786,15382,19,PAYMENT,8596,0
92797,85291,15,PAYMENT,-7506,1
55026,102195,17,CASH_OUT,47169,0
9484,135828,9,PAYMENT,126344,0
58063,21609,22,CASH_OUT,-36454,1
21969,148550,7,CASH_OUT,126581,0
5540,171738,17,TRANSFER,166198,0
94866,76683,20,TRANSFER,-18183,1
3758,125714,0,TRANSFER,121956,0
97514,131330,22,TRANSFER,33816,1
98108,72315,7,TRANSFER,-25793,1
13555,78834,5,CASH_OUT,65279,0
66209,127205,4,CASH_OUT,60996,1
34776,15153,14,PAYMENT,-19623,1
73540,77325,21,CASH_OUT,3785,0
93567,145071,14,CASH_OUT,51504,0
61097,56318,1,TRANSFER,-4779,1
95849,132886,0,CASH_OUT,37037,1
68850,116033,22,TRANSFER,47183,1
54394,77077,22,PAYMENT,22683,0
51015,91474,10,PAYMENT,40459,0
46586,134515,9,CASH_OUT,87929,0
39363,74319,17,PAYMENT,34956,0
62013,126885,17,CASH_OUT,64872,0
83221,110777,16,PAYMENT,27556,0
52743,18368,7,TRANSFER,-34375,1
65328,147400,14,TRANSFER,82072,1
89484,189014,7,TRANSFER,99530,1
23674,92751,16,TRANSFER,69077,0
67182,28306,11,CASH_OUT,-38876,1
85626,171987,7,PAYMENT,86361,0
93274,38219,13,CASH_OUT,-55055,1
26746,196716,3,TRANSFER,169970,0
94219,61279,0,CASH_OUT,-32940,1
864,54028,0,PAYMENT,53164,0
90094,105263,18,CASH_OUT,15169,0
38633,1126,15,PAYMENT,-37507,1
7402,53329,13,CASH_OUT,45927,0
55690,28632,20,PAYMENT,-27058,1
46727,197382,15,PAYMENT,150655,0
87102,110945,4,TRANSFER,23843,1
50869,56176,8,PAYMENT,5307,0
26319,176399,1,TRANSFER,150080,0
87465,135869,17,TRANSFER,48404,1
63744,179954,5,TRANSFER,116210,1
70477,145790,8,CASH_OUT,75313,0
52672,35560,0,CASH_OUT,-17112,1
98516,77589,8,CASH_OUT,-20927,1
12698,23116,15,CASH_OUT,10418,0
25352,168316,12,PAYMENT,142964,0
37167,133717,8,PAYMENT,96550,0
67873,179595,20,CASH_OUT,111722,0
52093,125085,12,PAYMENT,72992,0
65743,118718,8,PAYMENT,52975,0
89055,20256,10,TRANSFER,-68799,1
34708,101158,3,TRANSFER,66450,1
80633,185245,1,TRANSFER,104612,1
22681,169502,5,TRANSFER,146821,0
25194,171354,13,PAYMENT,146160,0
93394,120719,3,CASH_OUT,27325,1
42117,195446,5,PAYMENT,153329,1
86212,69244,18,PAYMENT,-16968,1
51673,143766,5,PAYMENT,92093,1
15718,57264,1,TRANSFER,41546,0
91916,58545,17,TRANSFER,-33371,1
49821,40224,12,TRANSFER,-9597,1
2821,98945,8,CASH_OUT,96124,0
56260,14224,22,PAYMENT,-42036,1
72092,41738,18,CASH_OUT,-30354,1
34764,157222,12,TRANSFER,122458,0
95752,64731,10,CASH_OUT,-31021,1
11421,181760,0,PAYMENT,170339,0
2921,140649,23,PAYMENT,137728,0
67280,9070,21,TRANSFER,-58210,1
83773,127161,6,TRANSFER,43388,1
8690,9666,20,CASH_OUT,976,0
84906,58761,14,TRANSFER,-26145,1
83889,37368,0,TRANSFER,-46521,1
71305,138855,11,PAYMENT,67550,0
88624,42914,6,TRANSFER,-45710,1
11121,128738,14,TRANSFER,117617,0
37514,68526,20,PAYMENT,31012,0
1812,177837,18,PAYMENT,176025,0
8165,20956,0,CASH_OUT,12791,0
73666,47240,16,TRANSFER,-26426,1
39394,122008,16,PAYMENT,82614,0
47264,169220,2,CASH_OUT,121956,1
21928,95270,11,CASH_OUT,73342,0
85991,5757,5,TRANSFER,-80234,1
60723,20097,10,TRANSFER,-40626,1
30316,142467,2,CASH_OUT,112151,1
16656,148313,7,PAYMENT,131657,0
46853,104892,13,CASH_OUT,58039,0
96611,159768,13,TRANSFER,63157,1
90745,71480,9,PAYMENT,-19265,1
16381,47163,1,PAYMENT,30782,0
77381,20816,13,CASH_OUT,-56565,1
2059,181912,8,TRANSFER,179853,0
31626,53853,2,CASH_OUT,22227,1
20942,156989,20,CASH_OUT,136047,0
29865,97731,7,CASH_OUT,67866,0
61444,153638,15,PAYMENT,92194,0
72704,63823,1,PAYMENT,-8881,1
43026,152878,5,TRANSFER,109852,1
7410,2759,20,TRANSFER,-4651,1
42652,174021,11,CASH_OUT,131369,0
15161,93374,4,CASH_OUT,78213,0
51417,134554,1,CASH_OUT,83137,1
66700,25442,15,TRANSFER,-41258,1
4509,165791,4,PAYMENT,161282,0
6305,190138,14,PAYMENT,183833,0
59050,94501,11,CASH_OUT,35451,0
12193,3079,3,CASH_OUT,-9114,1
29309,134789,14,CASH_OUT,105480,0
12884,60676,10,CASH_OUT,47792,0
32721,160024,15,TRANSFER,127303,0
5549,174532,22,PAYMENT,168983,0
53361,91397,5,CASH_OUT,38036,1
61277,73847,13,TRANSFER,12570,1
48364,94607,17,CASH_OUT,46243,0
2567,150521,11,CASH_OUT,147954,0
38370,165608,10,PAYMENT,127238,0
82028,65077,12,CASH_OUT,-16951,1
2210,39258,20,PAYMENT,37048,0
68507,180374,22,PAYMENT,111867,0
46985,160937,10,PAYMENT,113952,0
21367,138717,22,TRANSFER,117350,0
77515,120771,15,TRANSFER,43256,1
2879,39000,14,PAYMENT,36121,0
61145,27737,20,CASH_OUT,-33408,1
50118,12485,14,PAYMENT,-37633,1
94189,39565,3,CASH_OUT,-54624,1
90282,157594,10,PAYMENT,67312,0
38477,120614,18,CASH_OUT,82137,0
23338,66155,14,TRANSFER,42817,0
91422,187240,3,CASH_OUT,95818,1
86841,53487,20,PAYMENT,-33354,1
3997,130948,12,TRANSFER,126951,0
58881,13342,21,CASH_OUT,-45539,1
22409,41806,18,CASH_OUT,19397,0
46224,49770,1,CASH_OUT,3546,1
99532,79623,13,CASH_OUT,-19909,1
86426,104177,3,CASH_OUT,17751,1
70281,132026,15,TRANSFER,61745,1
44074,76629,20,TRANSFER,32555,0
70101,121993,19,TRANSFER,51892,1
40828,184675,13,TRANSFER,143847,0
45535,127944,14,PAYMENT,82409,0
19840,106947,2,TRANSFER,87107,0
17439,27399,7,CASH_OUT,9960,0
6903,129177,15,CASH_OUT,122274,0
79919,110575,9,TRANSFER,30656,1
47343,111904,3,CASH_OUT,64561,1
3446,187178,17,TRANSFER,183732,0
74300,31678,1,CASH_OUT,-42622,1
76223,77218,16,PAYMENT,995,0
5905,64230,12,PAYMENT,58325,0
19748,75055,3,TRANSFER,55307,0
30756,188445,10,TRANSFER,157689,0
49387,163552,6,TRANSFER,114165,0
48414,73258,11,CASH_OUT,24844,0
54055,40986,9,TRANSFER,-13069,1
97898,156232,6,PAYMENT,58334,0
39800,86595,12,CASH_OUT,46795,0
5610,102358,6,TRANSFER,96748,0
94670,65929,23,CASH_OUT,-28741,1
93189,74506,16,CASH_OUT,-18683,1
40774,35911,9,TRANSFER,-4863,1
74553,88127,9,CASH_OUT,13574,0
45724,163893,23,PAYMENT,118169,0
56845,192607,3,PAYMENT,135762,1
73754,114453,19,CASH_OUT,40699,0
56501,85458,3,TRANSFER,28957,1
18599,13175,21,CASH_OUT,-5424,1
43494,120235,6,PAYMENT,76741,0
82999,55771,21,CASH_OUT,-27228,1
36222,128157,0,CASH_OUT,91935,1
43535,122300,11,PAYMENT,78765,0
47212,87925,23,CASH_OUT,40713,0
32645,67358,12,CASH_OUT,34713,0
63218,149399,9,TRANSFER,86181,1
33838,48057,14,TRANSFER,14219,0
18721,7150,12,PAYMENT,-11571,1
3430,5425,22,PAYMENT,1995,0
96762,17032,21,PAYMENT,-79730,1
311,3198,21,TRANSFER,2887,0
45246,192572,20,PAYMENT,147326,0
66245,185466,21,PAYMENT,119221,0
54250,152151,8,PAYMENT,97901,0
65736,168292,8,TRANSFER,102556,1
10502,173946,14,CASH_OUT,163444,0
6112,145931,9,PAYMENT,139819,0
50346,182532,23,CASH_OUT,132186,0
85324,163491,9,PAYMENT,78167,0
26651,119865,7,CASH_OUT,93214,0
34594,140777,23,TRANSFER,106183,0
32755,174952,15,TRANSFER,142197,0
23103,24236,16,PAYMENT,1133,0
66115,88955,4,CASH_OUT,22840,1
51895,104145,3,TRANSFER,52250,1
36641,147430,17,PAYMENT,110789,0
73001,95914,23,PAYMENT,22913,0
4024,103870,18,TRANSFER,99846,0
11103,117243,3,TRANSFER,106140,0
18080,15596,6,PAYMENT,-2484,1
35787,165644,9,CASH_OUT,129857,0
56968,133351,17,CASH_OUT,76383,0
82084,195269,18,CASH_OUT,113185,0
10739,112496,3,PAYMENT,101757,0
99723,131273,9,TRANSFER,31550,1
45027,194588,0,PAYMENT,149561,1
66330,139155,22,TRANSFER,72825,1
27761,121674,17,CASH_OUT,93913,0
78079,121307,4,CASH_OUT,43228,1
54758,149843,14,TRANSFER,95085,1
5811,162047,16,TRANSFER,156236,0
19200,177720,2,PAYMENT,158520,0
49699,180357,11,CASH_OUT,130658,0
51003,20063,1,PAYMENT,-30940,1
29602,68642,0,PAYMENT,39040,0
10657,91093,22,PAYMENT,80436,0
8726,169671,20,CASH_OUT,160945,0
88901,183992,16,PAYMENT,95091,0
87555,160601,21,PAYMENT,73046,0
89922,36954,15,PAYMENT,-52968,1
70326,28856,4,PAYMENT,-41470,1
2378,3573,14,PAYMENT,1195,0
77585,36367,2,PAYMENT,-41218,1
6665,100608,6,CASH_OUT,93943,0
70041,61774,10,PAYMENT,-8267,1
76439,24752,9,TRANSFER,-51687,1
91093,56029,8,PAYMENT,-35064,1
87932,149757,13,PAYMENT,61825,0
55776,131282,12,CASH_OUT,75506,0
13413,52693,1,CASH_OUT,39280,0
32107,117739,2,TRANSFER,85632,1
78667,56961,6,TRANSFER,-21706,1
10976,127678,20,CASH_OUT,116702,0
99167,75532,17,CASH_OUT,-23635,1
93858,82994,2,PAYMENT,-10864,1
52931,57133,9,CASH_OUT,4202,0
49736,62268,21,TRANSFER,12532,0
50310,170315,6,PAYMENT,120005,0
22687,189456,8,TRANSFER,166769,0
55619,32653,16,PAYMENT,-22966,1
96835,158729,10,CASH_OUT,61894,0
56671,172024,6,TRANSFER,115353,1
31034,154252,23,PAYMENT,123218,0
70323,122829,13,PAYMENT,52506,0
53016,129377,18,CASH_OUT,76361,0
95295,2622,3,CASH_OUT,-92673,1
15348,49756,5,CASH_OUT,34408,0
68037,41809,9,TRANSFER,-26228,1
92782,17725,6,PAYMENT,-75057,1
80145,193468,12,CASH_OUT,113323,0
19518,52226,13,TRANSFER,32708,0
3061,82182,3,TRANSFER,79121,0
48757,30402,7,TRANSFER,-18355,1
87152,5263,4,CASH_OUT,-81889,1
87245,178900,0,CASH_OUT,91655,1
54031,48924,3,PAYMENT,-5107,1
66422,75182,2,PAYMENT,8760,1
58345,191124,8,CASH_OUT,132779,0
56189,143736,7,TRANSFER,87547,1
32103,36737,0,TRANSFER,4634,1
69688,102332,5,TRANSFER,32644,1
80748,90563,8,PAYMENT,9815,0
39744,161445,6,TRANSFER,121701,0
72625,168469,3,PAYMENT,95844,1
73533,129575,12,PAYMENT,56042,0
94486,102371,16,TRANSFER,7885,1
17029,39709,1,TRANSFER,22680,0
83623,193192,4,CASH_OUT,109569,1
91804,151322,11,CASH_OUT,59518,0
86682,22172,20,TRANSFER,-64510,1
73857,12555,7,PAYMENT,-61302,1
82760,54276,5,PAYMENT,-28484,1
79644,58492,7,PAYMENT,-21152,1
28261,185074,17,PAYMENT,156813,0
25955,90599,2,PAYMENT,64644,0
90862,156834,21,CASH_OUT,65972,0
32227,12046,11,TRANSFER,-20181,1
8318,117021,2,CASH_OUT,108703,0
5959,160841,21,PAYMENT,154882,0
52000,185374,5,PAYMENT,133374,1
1160,155222,1,PAYMENT,154062,0
89490,5853,22,PAYMENT,-83637,1
74750,121900,11,TRANSFER,47150,1
66627,153864,1,PAYMENT,87237,1
94851,60129,5,TRANSFER,-34722,1
16906,115130,16,PAYMENT,98224,0
46185,199370,2,TRANSFER,153185,1
7815,164059,1,CASH_OUT,156244,0
5247,147922,22,PAYMENT,142675,0
20066,144184,19,TRANSFER,124118,0
45553,122789,7,CASH_OUT,77236,0
56566,156130,21,PAYMENT,99564,0
3353,177492,11,PAYMENT,174139,0
13510,39890,3,PAYMENT,26380,0
53232,67017,4,TRANSFER,13785,1
29385,179376,12,TRANSFER,149991,0
9672,164993,14,CASH_OUT,155321,0
16974,133596,22,TRANSFER,116622,0
59648,101424,15,TRANSFER,41776,1
73676,16048,9,PAYMENT,-57628,1
85077,167183,22,PAYMENT,82106,0
67225,169976,15,PAYMENT,102751,0
69052,55912,11,PAYMENT,-13140,1
13294,35008,16,PAYMENT,21714,0
72799,132132,15,PAYMENT,59333,0
84674,84559,11,PAYMENT,-115,1
93478,56337,7,CASH_OUT,-37141,1
61399,111616,19,CASH_OUT,50217,0
9445,14350,2,CASH_OUT,4905,0
54350,25354,15,CASH_OUT,-28996,1
44088,46186,12,PAYMENT,2098,0
78842,29145,22,CASH_OUT,-49697,1
51303,166092,18,PAYMENT,114789,0
95991,87123,7,CASH_OUT,-8868,1
78791,21581,21,TRANSFER,-57210,1
60413,89929,4,CASH_OUT,29516,1
29134,24051,19,CASH_OUT,-5083,1
95445,52474,7,PAYMENT,-42971,1
43929,92748,23,CASH_OUT,48819,0
35257,126995,11,TRANSFER,91738,0
94768,70626,0,PAYMENT,-24142,1
91757,7960,20,PAYMENT,-83797,1
62762,167844,19,CASH_OUT,105082,0
56583,153592,5,PAYMENT,97009,1
59111,181553,21,PAYMENT,122442,0
26656,37408,17,PAYMENT,10752,0
23059,95006,7,PAYMENT,71947,0
79615,58134,6,PAYMENT,-21481,1
98126,152563,0,PAYMENT,54437,1
97389,133413,20,TRANSFER,36024,1
68395,176695,15,CASH_OUT,108300,0
40168,91327,11,TRANSFER,51159,0
65427,132410,5,PAYMENT,66983,1
23299,144326,19,PAYMENT,121027,0
9833,183932,1,CASH_OUT,174099,0
60170,12344,13,TRANSFER,-47826,1
41985,133822,3,CASH_OUT,91837,1
9550,186828,0,TRANSFER,177278,0
16374,68957,22,PAYMENT,52583,0
4621,106423,17,CASH_OUT,101802,0
27673,59053,12,CASH_OUT,31380,0
52001,147968,1,PAYMENT,95967,1
57689,187833,8,CASH_OUT,130144,0
30987,194624,20,TRANSFER,163637,0
94714,78454,1,TRANSFER,-16260,1
49125,91600,8,TRANSFER,42475,0
91017,123732,0,TRANSFER,32715,1
88233,160007,10,PAYMENT,71774,0
60900,38641,2,CASH_OUT,-22259,1
66397,30711,19,TRANSFER,-35686,1
18081,71342,22,PAYMENT,53261,0
59285,107896,3,CASH_OUT,48611,1
72379,144254,17,CASH_OUT,71875,0
11948,88833,22,PAYMENT,76885,0
35205,57276,5,PAYMENT,22071,1
91690,20541,2,TRANSFER,-71149,1
4010,95457,21,CASH_OUT,91447,0
70598,45813,10,CASH_OUT,-24785,1
93620,169270,14,PAYMENT,75650,0
97866,140892,21,CASH_OUT,43026,0
38314,25070,4,TRANSFER,-13244,1
69459,143194,19,CASH_OUT,73735,0
82996,81559,9,PAYMENT,-1437,1
89653,42786,11,PAYMENT,-46867,1
20774,138809,14,TRANSFER,118035,0
86037,37062,16,TRANSFER,-48975,1
38504,186309,9,CASH_OUT,147805,0
3383,52571,5,CASH_OUT,49188,0
12171,26510,17,PAYMENT,14339,0
97542,20426,12,TRANSFER,-77116,1
92668,38265,2,TRANSFER,-54403,1
27360,149922,23,TRANSFER,122562,0
93018,67150,9,CASH_OUT,-25868,1
94307,88312,13,TRANSFER,-5995,1
25361,90613,5,PAYMENT,65252,0
88678,75910,2,PAYMENT,-12768,1
15315,53375,15,CASH_OUT,38060,0
75363,122826,6,CASH_OUT,47463,0
76807,36435,19,TRANSFER,-40372,1
65963,97443,13,CASH_OUT,31480,0
57468,189204,8,PAYMENT,131736,0
20368,135055,14,TRANSFER,114687,0
3277,152734,20,PAYMENT,149457,0
82755,24510,2,TRANSFER,-58245,1
89598,173070,1,CASH_OUT,83472,1
38523,188918,1,TRANSFER,150395,1
26102,95071,2,TRANSFER,68969,0
11348,7640,17,PAYMENT,-3708,1
422,45547,13,PAYMENT,45125,0
7553,55620,19,TRANSFER,48067,0
33506,147389,17,CASH_OUT,113883,0
60702,116608,9,CASH_OUT,55906,0
89094,8564,1,PAYMENT,-80530,1
92930,159417,21,CASH_OUT,66487,0
44435,114824,0,PAYMENT,70389,1
38766,80273,3,CASH_OUT,41507,1
18898,75859,13,TRANSFER,56961,0
35745,111017,0,PAYMENT,75272,1
47305,124618,13,PAYMENT,77313,0
83052,184465,15,TRANSFER,101413,1
86009,198153,21,PAYMENT,112144,0
17965,126341,13,CASH_OUT,108376,0
37851,30430,19,CASH_OUT,-7421,1
70650,28788,2,PAYMENT,-41862,1
65520,180615,2,CASH_OUT,115095,1
34921,145991,8,PAYMENT,111070,0
59041,70346,5,TRANSFER,11305,1
88736,97122,12,PAYMENT,8386,0
7367,40974,20,TRANSFER,33607,0
32489,108309,1,CASH_OUT,75820,1
61486,17371,7,TRANSFER,-44115,1
44821,46084,20,CASH_OUT,1263,0
36218,161701,1,PAYMENT,125483,1
20160,183256,3,CASH_OUT,163096,0
71190,62916,14,PAYMENT,-8274,1
43296,74972,3,PAYMENT,31676,1
68460,194259,12,TRANSFER,125799,1
21362,13984,11,TRANSFER,-7378,1
55079,34039,12,TRANSFER,-21040,1
14407,86431,13,TRANSFER,72024,0
41565,84691,19,CASH_OUT,43126,0
46969,59606,17,CASH_OUT,12637,0
738,142688,5,CASH_OUT,141950,0
50527,103665,10,PAYMENT,53138,0
66244,106373,1,CASH_OUT,40129,1
39964,182144,22,CASH_OUT,142180,0
47290,25574,18,CASH_OUT,-21716,1
79469,135502,18,TRANSFER,56033,1
16789,144748,4,CASH_OUT,127959,0
63942,142888,18,PAYMENT,78946,0
72946,33733,1,TRANSFER,-39213,1
24476,3050,9,PAYMENT,-21426,1
36949,110996,1,CASH_OUT,74047,1
69906,34933,10,TRANSFER,-34973,1
35280,25951,17,PAYMENT,-9329,1
59173,33413,23,CASH_OUT,-25760,1
82647,166873,14,PAYMENT,84226,0
51944,187691,8,PAYMENT,135747,0
64905,164985,22,PAYMENT,100080,0
32317,113573,18,CASH_OUT,81256,0
54108,172672,8,CASH_OUT,118564,0
60931,189847,2,PAYMENT,128916,1
5496,167472,20,TRANSFER,161976,0
8345,136566,8,TRANSFER,128221,0
86910,123744,13,CASH_OUT,36834,0
89122,90431,18,CASH_OUT,1309,0
97213,44001,6,CASH_OUT,-53212,1
11140,68364,15,CASH_OUT,57224,0
87518,125988,15,CASH_OUT,38470,0
60576,46028,0,TRANSFER,-14548,1
66713,169645,3,CASH_OUT,102932,1
27202,132878,3,PAYMENT,105676,0
1072,125343,6,PAYMENT,124271,0
84086,188710,7,TRANSFER,104624,1
89790,129301,16,PAYMENT,39511,0
21555,127295,4,TRANSFER,105740,0
21699,161829,6,TRANSFER,140130,0
11184,35636,19,PAYMENT,24452,0
88471,180352,19,CASH_OUT,91881,0
9358,25262,3,PAYMENT,15904,0
23724,81435,5,PAYMENT,57711,0
38112,194283,6,TRANSFER,156171,0
74470,186914,17,PAYMENT,112444,0
89940,129583,4,TRANSFER,39643,1
6811,189051,19,CASH_OUT,182240,0
72277,170269,2,CASH_OUT,97992,1
48146,42844,6,CASH_OUT,-5302,1
23635,65754,21,PAYMENT,42119,0
82883,166229,13,TRANSFER,83346,1
72602,78129,6,CASH_OUT,5527,0
77062,41042,4,TRANSFER,-36020,1
44271,62665,21,TRANSFER,18394,0
1552,117953,4,CASH_OUT,116401,0
21687,159448,22,CASH_OUT,137761,0
46742,187626,1,TRANSFER,140884,1
50353,146271,20,CASH_OUT,95918,0
39091,119533,21,TRANSFER,80442,0
62866,183020,5,TRANSFER,120154,1
93115,74781,14,CASH_OUT,-18334,1
88868,67262,20,PAYMENT,-21606,1
19075,47600,9,CASH_OUT,28525,0
83470,77898,22,PAYMENT,-5572,1
88102,194555,23,TRANSFER,106453,1
54703,150369,6,TRANSFER,95666,1
26972,31448,4,PAYMENT,4476,0
28305,27172,0,TRANSFER,-1133,1
13817,174946,12,PAYMENT,161129,0
42358,8657,20,PAYMENT,-33701,1
26442,157497,17,TRANSFER,131055,0
